customer_id,segment_name,recency,frequency,monetary,return_rate,recent_tickets
CUST00001,At-Risk Customers,107,6,1872.5727,0.16666666666666666,0.0
CUST00002,Dormant Customers,40,1,447.37,0.0,1.0
CUST00003,Dormant Customers,171,1,344.48940000000005,0.0,0.0
CUST00004,Dormant Customers,131,1,1347.3935999999999,0.0,0.0
CUST00005,Loyal / Core Buyers,38,4,1448.7921000000001,0.0,0.0
CUST00006,Frustrated / High-Complaint,51,5,2578.0133,0.2,2.0
CUST00007,Dormant Customers,3,1,589.8506000000001,0.0,0.0
CUST00008,Loyal / Core Buyers,47,4,2009.0533,0.0,0.0
CUST00009,Dormant Customers,31,1,192.19350000000003,0.0,0.0
CUST00010,Dormant Customers,9,1,350.24,0.0,0.0
CUST00011,Dormant Customers,1,2,783.0505,0.0,0.0
CUST00012,Loyal / Core Buyers,50,2,1447.8072,0.0,0.0
CUST00013,Loyal / Core Buyers,61,3,1352.6785,0.0,0.0
CUST00014,Loyal / Core Buyers,51,11,6243.0782,0.0,0.0
CUST00015,Loyal / Core Buyers,35,4,2993.453,0.0,0.0
CUST00016,Dormant Customers,215,1,372.8556,0.0,0.0
CUST00017,At-Risk Customers,286,3,1290.5884999999998,0.0,0.0
CUST00018,Dormant Customers,111,1,210.6944,0.0,0.0
CUST00019,Dormant Customers,9,2,1384.1105000000002,0.0,0.0
CUST00020,At-Risk Customers,368,3,4013.2831000000006,0.0,0.0
CUST00021,Loyal / Core Buyers,77,2,577.7475,0.0,1.0
CUST00022,Dormant Customers,29,1,313.3014,0.0,0.0
CUST00023,Dormant Customers,21,1,300.735,0.0,0.0
CUST00024,Dormant Customers,4,1,317.691,0.0,0.0
CUST00025,At-Risk Customers,165,7,3377.5501999999997,0.0,0.0
CUST00026,Loyal / Core Buyers,72,3,2938.8963,0.3333333333333333,1.0
CUST00027,Dormant Customers,70,1,1489.838,1.0,1.0
CUST00028,Loyal / Core Buyers,83,2,1190.2322,0.0,0.0
CUST00029,Champions,18,8,3985.4249,0.0,0.0
CUST00030,Champions,5,6,2299.287,0.0,2.0
CUST00031,Dormant Customers,49,1,511.44200000000006,0.0,0.0
CUST00032,Loyal / Core Buyers,33,3,1271.2845,0.0,0.0
CUST00033,Dormant Customers,12,4,1213.0092,0.5,1.0
CUST00034,Loyal / Core Buyers,50,6,2576.0562,0.0,1.0
CUST00035,At-Risk Customers,127,3,1135.6163000000001,0.0,0.0
CUST00036,Loyal / Core Buyers,27,4,1115.851,0.25,1.0
CUST00037,Dormant Customers,102,1,248.4231,0.0,0.0
CUST00038,Loyal / Core Buyers,51,4,1430.6426000000001,0.0,1.0
CUST00039,Dormant Customers,15,3,1168.9613,0.0,0.0
CUST00040,Dormant Customers,154,1,393.5326,0.0,0.0
CUST00041,Loyal / Core Buyers,54,4,1211.4356,0.0,0.0
CUST00042,At-Risk Customers,87,9,6126.9692000000005,0.2222222222222222,2.0
CUST00043,Dormant Customers,24,1,206.91570000000002,0.0,0.0
CUST00044,Loyal / Core Buyers,72,3,1736.3273,0.0,0.0
CUST00045,Dormant Customers,96,1,277.2125,0.0,0.0
CUST00046,Dormant Customers,127,1,426.1869,0.0,0.0
CUST00047,Dormant Customers,204,1,642.1211999999999,0.0,0.0
CUST00048,Loyal / Core Buyers,61,4,1736.6688,0.25,0.0
CUST00049,Dormant Customers,8,1,201.8399,0.0,0.0
CUST00050,Dormant Customers,0,3,1661.8244,0.3333333333333333,0.0
CUST00051,At-Risk Customers,210,4,3105.6328000000003,0.0,0.0
CUST00052,Loyal / Core Buyers,55,3,2164.0041,0.3333333333333333,0.0
CUST00053,Loyal / Core Buyers,25,4,2976.9552999999996,0.0,1.0
CUST00054,Dormant Customers,6,1,367.38750000000005,0.0,0.0
CUST00055,Dormant Customers,3,3,989.0234,0.0,0.0
CUST00056,Dormant Customers,9,4,2466.0036,0.0,1.0
CUST00057,Loyal / Core Buyers,136,2,1991.8409,0.0,0.0
CUST00058,Loyal / Core Buyers,42,4,1837.3204,0.0,0.0
CUST00059,Dormant Customers,2,3,1905.9279999999999,0.0,0.0
CUST00060,Dormant Customers,145,1,187.66080000000002,0.0,0.0
